Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-5.869;79.27;nan;nan
2024-03-08 08:00:00;-3.496;77.948;nan;191.623
2024-03-08 09:00:00;-0.248;73.118;0.0;375.481
2024-03-08 10:00:00;2.505;61.724;0.0;531.843
2024-03-08 11:00:00;4.413;54.702;0.0;643.081
2024-03-08 12:00:00;5.776;53.087;0.0;698.49
2024-03-08 13:00:00;6.165;51.504;0.0;664.86
2024-03-08 14:00:00;7.246;48.143;0.0;631.23
2024-03-08 15:00:00;7.583;47.814;0.0;514.272
2024-03-08 16:00:00;7.417;50.416;0.0;354.431
2024-03-08 17:00:00;6.562;57.285;0.0;173.328
2024-03-08 18:00:00;3.718;63.088;0.0;25.186
2024-03-08 19:00:00;2.318;69.091;0.0;12.593
2024-03-08 20:00:00;1.57;67.993;0.0;0.0
2024-03-08 21:00:00;-0.748;75.838;0.0;0.0
2024-03-08 22:00:00;-0.425;67.895;0.0;0.0
2024-03-08 23:00:00;-0.435;73.604;0.0;0.0
2024-03-09 00:00:00;-0.534;74.287;0.0;0.0
2024-03-09 01:00:00;0.173;71.119;0.0;0.0
2024-03-09 02:00:00;-0.502;72.205;0.0;0.0
2024-03-09 03:00:00;-0.986;72.526;0.0;0.0
2024-03-09 04:00:00;-1.356;73.443;0.0;0.0
2024-03-09 05:00:00;-1.804;77.276;0.0;0.0
2024-03-09 06:00:00;-2.059;79.557;0.0;0.0
2024-03-09 07:00:00;1.086;61.605;0.0;74.0885
2024-03-09 08:00:00;0.809;72.532;0.0;148.177
2024-03-09 09:00:00;2.515;67.487;0.0;200.228
2024-03-09 10:00:00;3.687;62.328;0.0;238.427
2024-03-09 11:00:00;4.844;58.309;0.0;374.431
2024-03-09 12:00:00;5.193;58.303;0.0;332.017
2024-03-09 13:00:00;6.218;52.486;0.0;260.2905
2024-03-09 14:00:00;5.5;54.23;0.0;188.564
2024-03-09 15:00:00;5.281;53.052;0.0;174.654
2024-03-09 16:00:00;4.506;54.934;0.001;82.721
2024-03-09 17:00:00;3.682;58.395;0.005;40.298
2024-03-09 18:00:00;3.269;60.443;0.001;4.198
2024-03-09 19:00:00;3.32;71.814;0.044;2.099
2024-03-09 20:00:00;1.564;85.956;0.336;0.0
2024-03-09 21:00:00;1.081;92.367;0.629;0.0
2024-03-09 22:00:00;1.121;94.807;1.405;0.0
2024-03-09 23:00:00;1.211;93.846;1.093;0.0
2024-03-10 00:00:00;1.238;93.501;0.282;0.0
2024-03-10 01:00:00;0.927;89.673;0.131;0.0
2024-03-10 02:00:00;0.83;91.999;0.691;0.0
2024-03-10 03:00:00;0.733;94.325;1.252;0.0
2024-03-10 04:00:00;0.836;93.77;1.812;0.0
2024-03-10 05:00:00;0.147;96.265;2.743;0.0
2024-03-10 06:00:00;0.352;93.917;0.49;0.0
2024-03-10 07:00:00;-0.2955;94.536;1.854;3.917666666666667
2024-03-10 08:00:00;-0.943;95.155;3.218;7.835333333333334
2024-03-10 09:00:00;-0.111;98.144;2.653;11.753
2024-03-10 10:00:00;-0.111;98.977;2.088;27.705
2024-03-10 11:00:00;0.068;99.747;1.772;62.125
2024-03-10 12:00:00;0.248;99.582;0.585;89.83
2024-03-10 13:00:00;0.547;99.18;0.311;130.609
2024-03-10 14:00:00;1.419;95.357;0.11;137.86
2024-03-10 15:00:00;2.199;92.755;0.065;145.111
2024-03-10 16:00:00;2.6;91.896;0.02;138.652
2024-03-10 17:00:00;1.977;94.344;0.086;68.036
2024-03-10 18:00:00;1.103;95.402;0.116;27.826
2024-03-10 19:00:00;0.525;95.764;0.344;4.3
2024-03-10 20:00:00;0.842;95.169;0.195;2.15
2024-03-10 21:00:00;-0.61;95.544;0.109;0.0
2024-03-10 22:00:00;-1.37;91.481;0.023;0.0
2024-03-10 23:00:00;-2.09;88.728;0.069;0.0
2024-03-11 00:00:00;-2.616;87.749;0.027;0.0
2024-03-11 01:00:00;-3.033;88.105;0.047;0.0
2024-03-11 02:00:00;-2.818;84.713;0.022;0.0
2024-03-11 03:00:00;-4.04;86.501;0.039;0.0
2024-03-11 04:00:00;-4.502;86.586;0.057;0.0
2024-03-11 05:00:00;-4.813;86.394;0.057;0.0
2024-03-11 06:00:00;-5.045;86.048;0.052;0.0
2024-03-11 07:00:00;-5.159;86.21;0.04;0.0
